Timestamp,Distance (cm),IR Status,Temperature
2025-06-17 13:21:23,286.14,No Object,26.37
2025-06-17 13:21:23,286.03,No Object,26.37
2025-06-17 13:21:24,286.13,No Object,26.37
2025-06-17 13:21:24,285.58,No Object,26.37
2025-06-17 13:21:25,285.26,No Object,26.37
2025-06-17 13:21:25,285.58,Object Detected,26.28
2025-06-17 13:21:26,285.72,No Object,26.28
2025-06-17 13:21:26,285.99,No Object,26.37
2025-06-17 13:21:27,285.7,Object Detected,26.37
2025-06-17 13:21:27,285.69,No Object,26.37
2025-06-17 13:21:28,285.62,No Object,26.37
2025-06-17 13:21:28,285.69,No Object,26.37
2025-06-17 13:21:29,285.58,Object Detected,26.37
2025-06-17 13:21:29,285.72,No Object,26.37
2025-06-17 13:21:30,285.63,Object Detected,26.37
2025-06-17 13:21:31,286.14,Object Detected,26.37
2025-06-17 13:21:31,789.26,Object Detected,26.37
2025-06-17 13:21:32,5.49,Object Detected,26.37
2025-06-17 13:21:32,5.39,Object Detected,26.37
2025-06-17 13:21:33,286.03,Object Detected,26.37
2025-06-17 13:21:33,286.03,Object Detected,26.37
2025-06-17 13:21:34,286.14,No Object,26.37
2025-06-17 13:21:34,286.43,No Object,26.37
